Feature,Actionability
Feature_163,1
Feature_162,1
Feature_298,2
Feature_25,N/A
Feature_297,10
Feature_24,2
Feature_160,6
Feature_22,4
Feature_161,9
Feature_205,1
Feature_141,2
Feature_295,4
Feature_4,9
Feature_226,N/A
Feature_91,7
Feature_68,9
Feature_23,4
Feature_296,10
Feature_140,4
Feature_341,3
Feature_488,4
Feature_501,1
Feature_487,6
Feature_512,1
Feature_469,10
Feature_434,9
Feature_500,N/A
Feature_489,9
Feature_419,2
Feature_486,9
Feature_420,4
Feature_483,5
Feature_490,8
Feature_485,6
Feature_484,5
Feature_276,1
Feature_364,2
Feature_433,7
Feature_590,3
Feature_582,10
Feature_573,9
Feature_275,5
Feature_2,10
Feature_1,2
Feature_253,N/A
Feature_52,4
Feature_136,N/A
Feature_5,5
Feature_224,7
Feature_251,7
